scientific_name,park_name,observations,category,common_names,conservation_status
Amaranthus retroflexus,Yellowstone National Park,247,Vascular Plant,"Careless Weed, Redroot Amaranth, Red-Root Amaranth, Redroot Pigweed, Rough Pigweed",Não Avaliado
Geranium thunbergii,Yosemite National Park,150,Vascular Plant,Thunberg's Geranium,Não Avaliado
Scirpus cyperinus,Great Smoky Mountains National Park,73,Vascular Plant,"Bulrush, Cottongrass Bulrush",Não Avaliado
Scirpus cyperinus,Great Smoky Mountains National Park,73,Vascular Plant,"Bulrush, Woolgrass",Não Avaliado
Viola glabella,Yellowstone National Park,261,Vascular Plant,Pioneer Violet,Não Avaliado
Scaphiopus holbrookii holbrookii,Yosemite National Park,177,Amphibian,Eastern Spadefoot,Não Avaliado
Glyceria striata,Yosemite National Park,117,Vascular Plant,"Fowl Manna-Grass, Striate Mannagrass",Não Avaliado
Glyceria striata,Yosemite National Park,117,Vascular Plant,"Fowl Manna Grass, Fowl Mannagrass",Não Avaliado
Veronica cusickii,Bryce National Park,84,Vascular Plant,Cusick's Speedwell,Não Avaliado
Festuca filiformis,Great Smoky Mountains National Park,79,Vascular Plant,Fineleaf Sheep Fescue,Não Avaliado
Rosa pinetorum,Bryce National Park,96,Vascular Plant,Pine Rose,Não Avaliado
Lysimachia nummularia,Yosemite National Park,140,Vascular Plant,"Creeping Jennie, Moneywort",Não Avaliado
Sclerolinon digynum,Bryce National Park,116,Vascular Plant,"Digynum Flax, Northwestern Yellowflax",Não Avaliado
Camissonia sierrae ssp. alticola,Bryce National Park,84,Vascular Plant,"Mono Hot Springs Evening Primrose, Mono Hot Springs Evening-Primrose",Species of Concern
Festuca idahoensis,Yellowstone National Park,239,Vascular Plant,Idaho Fescue,Não Avaliado
Doellingeria infirma,Yellowstone National Park,262,Vascular Plant,Cornel-Leaf Whitetop,Não Avaliado
Viola macloskeyi ssp. pallens,Great Smoky Mountains National Park,71,Vascular Plant,"Northern White Violet, Smooth White Violet",Não Avaliado
Cirsium arvense,Great Smoky Mountains National Park,85,Vascular Plant,"Crepping Thistle, Canada Thistle",Não Avaliado
Cirsium arvense,Great Smoky Mountains National Park,85,Vascular Plant,Canada Thistle,Não Avaliado
Elaeagnus umbellata,Yosemite National Park,176,Vascular Plant,Autumn Olive,Não Avaliado
Cornus alternifolia,Yosemite National Park,148,Vascular Plant,"Alternate-Leaf Dogwood, Alternate-Leaved Dogwood",Não Avaliado
Portulaca oleracea,Great Smoky Mountains National Park,76,Vascular Plant,Common Purslane,Não Avaliado
Portulaca oleracea,Great Smoky Mountains National Park,76,Vascular Plant,"Akulikuli-Kula, Common Purslane, Duckweed, Garden Purslane, Little Hogweed, Little-Hogweed, Purslane, Pursley, Wild Portulaca",Não Avaliado
Elaeagnus umbellata,Great Smoky Mountains National Park,85,Vascular Plant,Autumn Olive,Não Avaliado
Solidago missouriensis var. missouriensis,Bryce National Park,112,Vascular Plant,Missouri Goldenrod,Não Avaliado
Silene parryi,Great Smoky Mountains National Park,68,Vascular Plant,Parry's Silene,Não Avaliado
Itea virginica,Yellowstone National Park,235,Vascular Plant,"Sweet-Spire, Tasselwhite, Virginia Willow",Não Avaliado
Ammoselinum butleri,Yellowstone National Park,283,Vascular Plant,Butler's Sandparsley,Não Avaliado
Platycladus orientalis,Great Smoky Mountains National Park,25,Vascular Plant,Oriental White Cedar,Não Avaliado
Limnanthes alba ssp. versicolor,Yellowstone National Park,246,Vascular Plant,White Meadowfoam,Não Avaliado
Panicum rigidulum var. pubescens,Yosemite National Park,158,Vascular Plant,Long-Leaved Panic Grass,Não Avaliado
Salix humilis var. humilis,Great Smoky Mountains National Park,64,Vascular Plant,Prairie Willow,Não Avaliado
Hepatica nobilis,Yellowstone National Park,281,Vascular Plant,Hepatica,Não Avaliado
Eriogonum nudum var. deductum,Bryce National Park,88,Vascular Plant,Naked Buckwheat,Não Avaliado
Penstemon procerus,Great Smoky Mountains National Park,67,Vascular Plant,"Littleflower Penstemon, Pincushion Beardtongue",Não Avaliado
Ericameria suffruticosa,Yellowstone National Park,254,Vascular Plant,"Bighead Goldenbush, Singlehead Goldenbush, Single-Head Heath-Goldenrod",Não Avaliado
Chasmanthium latifolium,Yosemite National Park,152,Vascular Plant,"Broad-Leaved Spanglegrass, Indian Sea-Oats",Não Avaliado
Sparganium emersum ssp. emersum,Great Smoky Mountains National Park,80,Vascular Plant,Emersed Bur-Reed,Não Avaliado
Ribes rotundifolium,Yosemite National Park,147,Vascular Plant,"Appalachian Gooseberry, Round-Leaved Currant",Não Avaliado
Pachysandra procumbens,Yellowstone National Park,213,Vascular Plant,American Pachysandra,Não Avaliado
Helianthus annuus,Yellowstone National Park,265,Vascular Plant,Common Sunflower,Não Avaliado
Helianthus annuus,Yellowstone National Park,265,Vascular Plant,"Annual Sunflower, Common Sunflower, Sunflower, Wild Sunflower",Não Avaliado
Blarina brevicauda,Bryce National Park,77,Mammal,"Northern Short Tailed Shrew, Northern Short-Tailed Shrew",Não Avaliado
Polygonum viviparum,Great Smoky Mountains National Park,107,Vascular Plant,"Alpine Bistort, Serpent-Grass, Viviparous Bistort",Não Avaliado
Astragalus purshii var. purshii,Yosemite National Park,156,Vascular Plant,"Pursh's Milkvetch, Pursh's Milk-Vetch, Woollypod Milkvetch",Não Avaliado
Orthocarpus luteus,Great Smoky Mountains National Park,47,Vascular Plant,"Golden-Tongue Owl-Clover, Yellow Owlclover, Yellow Owl's-Clover",Não Avaliado
Liparis loeselii,Yosemite National Park,157,Vascular Plant,"Fen Orchid, Fen Orchis",Não Avaliado
Cornus canadensis,Bryce National Park,89,Vascular Plant,"Bunchberry Dogwood, Canadian Bunchberry",Não Avaliado
Arctostaphylos uva-ursi,Yosemite National Park,154,Vascular Plant,"Bearberry, Bearberry Manzanita, Kinnikinnick, Mealberry",Não Avaliado
Isatis tinctoria,Yosemite National Park,127,Vascular Plant,Dyer's Woad,Não Avaliado
Eschscholzia hypecoides,Bryce National Park,106,Vascular Plant,San Benito Poppy,Não Avaliado
Tofieldia glabra,Great Smoky Mountains National Park,75,Vascular Plant,"Smooth Bog-Asphodel, Smooth Tofieldia",Species of Concern
Odocoileus virginianus,Great Smoky Mountains National Park,36,Mammal,White-Tailed Deer,Não Avaliado
Odocoileus virginianus,Great Smoky Mountains National Park,36,Mammal,"White-Tailed Deer, White-Tailed Deer",Não Avaliado
Galium pilosum var. puncticulosum,Bryce National Park,137,Vascular Plant,Hairy Bedstraw,Não Avaliado
Physaria didymocarpa var. didymocarpa,Yellowstone National Park,244,Vascular Plant,Common Twinpod,Não Avaliado
Thamnophis sirtalis sirtalis,Great Smoky Mountains National Park,63,Reptile,Common Garter Snake,Não Avaliado
Krigia montana,Yellowstone National Park,214,Vascular Plant,"False Dandelion, Mountain Krigia",Não Avaliado
Puma concolor,Bryce National Park,92,Mammal,Panther (Mountain Lion),Não Avaliado
Puma concolor,Bryce National Park,92,Mammal,"Cougar, Mountain Lion, Puma",Não Avaliado
Puma concolor,Bryce National Park,92,Mammal,Mountain Lion,Não Avaliado
Sphaeralcea coccinea,Bryce National Park,108,Vascular Plant,"Copper Mallow, Orange Globemallow, Red Falsemallow, Scarlet Globemallow",Não Avaliado
Hypentelium nigricans,Great Smoky Mountains National Park,54,Fish,Northern Hog Sucker,Não Avaliado
Cryptantha affinis,Bryce National Park,105,Vascular Plant,"Common Cryptantha, Quill Cryptantha",Não Avaliado
Pellaea atropurpurea,Bryce National Park,115,Vascular Plant,"Purple Cliff-Brake, Purple-Stem Cliff-Brake",Não Avaliado
Platanus occidentalis,Great Smoky Mountains National Park,98,Vascular Plant,Sycamore,Não Avaliado
Plantago rugelii,Yellowstone National Park,223,Vascular Plant,"Black-Seed Plantain, White Man's Footprint",Não Avaliado
Lewisia nevadensis,Bryce National Park,82,Vascular Plant,"Nevada Bitterroot, Nevada Bitter-Root, Nevada Lewisia",Não Avaliado
Arenaria congesta var. subcongesta,Great Smoky Mountains National Park,90,Vascular Plant,"Ballhead Sandwort, Loosehead Sandwort",Não Avaliado
Calystegia sepium,Yellowstone National Park,218,Vascular Plant,Hedge Bindweed,Não Avaliado
Carex backii,Great Smoky Mountains National Park,58,Vascular Plant,"Back's Sedge, Rocky Mountain Sedge",Não Avaliado
Betula nigra,Bryce National Park,106,Vascular Plant,River Birch,Não Avaliado
Quercus,Bryce National Park,59,Vascular Plant,Oak,Não Avaliado
Spiraea prunifolia,Great Smoky Mountains National Park,48,Vascular Plant,"Bridal-Wreath, Spiraea",Não Avaliado
Andropogon glomeratus,Bryce National Park,65,Vascular Plant,"Bushy Bluestem, Marsh Broomsedge",Não Avaliado
Didymodon fallax var. reflexus,Yellowstone National Park,208,Nonvascular Plant,Didymodon Moss,Não Avaliado
Rhynchospora alba,Bryce National Park,88,Vascular Plant,White Beaksedge,Não Avaliado
Accipiter cooperii,Bryce National Park,95,Bird,Cooper's Hawk,Species of Concern
Eurycea longicauda longicauda,Yosemite National Park,147,Amphibian,Longtail Salamander,Não Avaliado
Scleria oligantha,Great Smoky Mountains National Park,70,Vascular Plant,"Little-Headed Nutrush, Nut-Rush",Não Avaliado
Orthotrichum stellatum,Great Smoky Mountains National Park,71,Nonvascular Plant,Stellate Orthotrichum Moss,Não Avaliado
Rhododendron maximum,Bryce National Park,100,Vascular Plant,"Great Laurel, Rosebay Rhododendron",Não Avaliado
Morus alba,Great Smoky Mountains National Park,49,Vascular Plant,White Mulberry,Não Avaliado
Sambucus racemosa var. racemosa,Great Smoky Mountains National Park,77,Vascular Plant,"Bunchberry Elder, Red Elderberry",Não Avaliado
Nemacladus interior,Bryce National Park,100,Vascular Plant,Sierra Threadplant,Não Avaliado
Sphagnum subsecundum,Great Smoky Mountains National Park,73,Nonvascular Plant,Sphagnum,Não Avaliado
Euphagus cyanocephalus,Bryce National Park,79,Bird,Brewer's Blackbird,Não Avaliado
Eleocharis quinqueflora,Bryce National Park,106,Vascular Plant,"Fewflower Spikerush, Few-Flower Spikerush, Few-Flower Spike-Rush, Fewflowered Spikesedge",Não Avaliado
Crotalaria sagittalis,Bryce National Park,56,Vascular Plant,Arrowhead Rattlebox,Não Avaliado
Erechtites hieracifolia,Yosemite National Park,134,Vascular Plant,Burnweed,Não Avaliado
Scrophularia marilandica,Bryce National Park,89,Vascular Plant,"Carpenter's Square Figwort, Figwort",Não Avaliado
Viola blanda var. blanda,Great Smoky Mountains National Park,108,Vascular Plant,Sweet White Violet,Não Avaliado
Hordeum murinum ssp. murinum,Yosemite National Park,115,Vascular Plant,Wall Barley,Não Avaliado
Calcarius lapponicus,Bryce National Park,91,Bird,Lapland Longspur,Não Avaliado
Agrostis mertensii,Yosemite National Park,135,Vascular Plant,Northern Agrostis,Não Avaliado
Agrostis mertensii,Yosemite National Park,135,Vascular Plant,"Arctic Bentgrass, Northern Bentgrass",Não Avaliado
Seiurus aurocapilla,Bryce National Park,86,Bird,Ovenbird,Não Avaliado
Chelone lyonii,Yellowstone National Park,244,Vascular Plant,Pink Turtlehead,Não Avaliado
Viburnum edule,Yosemite National Park,136,Vascular Plant,Squashberry,Não Avaliado
Platanthera obtusata,Great Smoky Mountains National Park,116,Vascular Plant,"Bluntleaved Orchid, Northern Small Bog Orchid",Não Avaliado
Pseudacris maculata,Bryce National Park,109,Amphibian,Boreal Chorus Frog,Não Avaliado
Chasmanthium sessiliflorum,Yellowstone National Park,257,Vascular Plant,"Longleaf Spikegrass, Longleaf Woodoats",Não Avaliado
Dichanthelium acuminatum var. acuminatum,Yosemite National Park,123,Vascular Plant,Tapered Rosette Grass,Species of Concern
Osmorhiza berteroi,Yellowstone National Park,263,Vascular Plant,"Mountain Sweetroot, Sweet Cicely, Sweetcicely",Não Avaliado
Hackelia nervosa,Yosemite National Park,168,Vascular Plant,"Sierra Stickseed, Sierran Stickseed",Não Avaliado
Poa sylvestris,Bryce National Park,118,Vascular Plant,Woodland Bluegrass,Não Avaliado
Amorpha fruticosa,Yellowstone National Park,258,Vascular Plant,"False Indigo, False Indigo-Bush",Não Avaliado
Anthemis cotula,Yellowstone National Park,252,Vascular Plant,"Mayweed, Stinking Chamomile",Não Avaliado
Anthemis cotula,Yellowstone National Park,252,Vascular Plant,"Chamomile, Dog Fennel, Dogfennel, Mayweed, Mayweed Chamomile, Mayweed Dogfennel, Stinking Chamomile, Stinkweed",Não Avaliado
Rumex obtusifolius,Great Smoky Mountains National Park,27,Vascular Plant,Bitter Dock,Não Avaliado
Clarkia rhomboidea,Great Smoky Mountains National Park,92,Vascular Plant,"Broadleaf Clarkia, Diamond Clarkia, Diamond Fairyfan",Não Avaliado
Berberis canadensis,Great Smoky Mountains National Park,74,Vascular Plant,American Barberry,Não Avaliado
Poa bolanderi,Yosemite National Park,135,Vascular Plant,Bolander's Bluegrass,Não Avaliado
Zonotrichia atricapilla,Bryce National Park,94,Bird,Golden-Crowned Sparrow,Não Avaliado
Pinus,Bryce National Park,94,Vascular Plant,Pine,Não Avaliado
Potentilla fruticosa,Bryce National Park,71,Vascular Plant,"Bush Cinquefoil, Golden Hardhack, Shrubby Cinquefoil, Widdy",Não Avaliado
Melanerpes erythrocephalus,Great Smoky Mountains National Park,84,Bird,Red-Headed Woodpecker,Não Avaliado
Digitaria violascens,Yosemite National Park,132,Vascular Plant,Violet Crabgrass,Não Avaliado
Hypochaeris radicata,Great Smoky Mountains National Park,57,Vascular Plant,"Cat's Ear, Spotted Cat's-Ear",Não Avaliado
Hypochaeris radicata,Great Smoky Mountains National Park,57,Vascular Plant,"Spotted Cats-Ear, Hairy Cats-Ear, Gosmore",Não Avaliado
Hypochaeris radicata,Great Smoky Mountains National Park,57,Vascular Plant,"Common Cat's-Ear, False Dandelion, Frogbit, Gosmore, Hairy Cat's Ear, Hairy Catsear, Spotted Catsear",Não Avaliado
Phacelia egena,Yellowstone National Park,282,Vascular Plant,"Kaweah River Phacelia, Kaweah River Scorpion-Weed",Não Avaliado
Atrichum oerstedianum,Great Smoky Mountains National Park,74,Nonvascular Plant,Oersted's Atrichum Moss,Não Avaliado
Pinus lambertiana,Bryce National Park,116,Vascular Plant,"California Sugar Pine, Sugar Pine",Não Avaliado
Thalictrum alpinum,Bryce National Park,110,Vascular Plant,"Alpine Meadowrue, Alpine Meadow-Rue",Não Avaliado
Jeffersonia diphylla,Yellowstone National Park,258,Vascular Plant,Twinleaf,Não Avaliado
Triosteum perfoliatum,Yellowstone National Park,257,Vascular Plant,Feverwort,Não Avaliado
Vaccinium parvifolium,Yellowstone National Park,253,Vascular Plant,Red Huckleberry,Não Avaliado
Sematophyllum demissum,Bryce National Park,109,Nonvascular Plant,Sematophyllum Moss,Não Avaliado
Phlox stolonifera,Yellowstone National Park,247,Vascular Plant,Creeping Phlox,Não Avaliado
Cryptantha muricata,Yellowstone National Park,267,Vascular Plant,"Pointed Catseye, Pointed Cryptantha, Prickly Cryptantha",Não Avaliado
Pseudoroegneria spicata,Yosemite National Park,156,Vascular Plant,"Bluebunch Wheatgrass, Bluebunch-Wheat Grass",Não Avaliado
Prosartes maculatum,Great Smoky Mountains National Park,105,Vascular Plant,Spotted Mandarin,Não Avaliado
Cuscuta compacta,Yosemite National Park,140,Vascular Plant,"Bracted Dodder, Sessile Dodder",Não Avaliado
Salix farriae,Bryce National Park,108,Vascular Plant,Farr's Willow,Não Avaliado
Coreopsis tripteris,Bryce National Park,86,Vascular Plant,Tall Tickseed,Não Avaliado
Vermivora celata,Yosemite National Park,106,Bird,Orange-Crowned Warbler,Não Avaliado
Malus angustifolia,Great Smoky Mountains National Park,71,Vascular Plant,"Narrowleaf Crabapple, Southern Crabapple",Não Avaliado
Cyanocitta stelleri,Yellowstone National Park,230,Bird,Steller's Jay,Não Avaliado
Platanthera dilatata var. dilatata,Yellowstone National Park,257,Vascular Plant,Scentbottle,Não Avaliado
Cheilanthes intertexta,Yosemite National Park,124,Vascular Plant,Coastal Lipfern,Não Avaliado
Carex lenticularis var. lipocarpa,Bryce National Park,112,Vascular Plant,"Kellogg Sedge, Kellogg's Sedge",Não Avaliado
Floerkea proserpinacoides,Yosemite National Park,131,Vascular Plant,"False Mermaidweed, False Mermaid-Weed",Não Avaliado
Juncus effusus var. solutus,Yosemite National Park,131,Vascular Plant,Lamp Rush,Não Avaliado
Thelypodium sagittatum,Yosemite National Park,164,Vascular Plant,"Arrow Thelypody, Slender Thelypody",Não Avaliado
Lychnis coronaria,Yellowstone National Park,260,Vascular Plant,Rose Campion,Não Avaliado
Carduelis tristis,Bryce National Park,110,Bird,American Goldfinch,Não Avaliado
Cicuta douglasii,Bryce National Park,119,Vascular Plant,"Douglas' Waterhemlock, Water Hemlock, Western Water Hemlock",Não Avaliado
Melanthium latifolium,Yosemite National Park,167,Vascular Plant,"Bunch-Flower, Hybrid Bunchflower",Não Avaliado
Lespedeza procumbens,Yellowstone National Park,233,Vascular Plant,"Low Bush-Clover, Trailing Bush-Clover",Não Avaliado
Juncus ensifolius var. montanus,Bryce National Park,83,Vascular Plant,Rocky Mountain Rush,Não Avaliado
Osmorhiza depauperata,Great Smoky Mountains National Park,67,Vascular Plant,"Blunt-Fruit Sweet-Cicely, Bluntseed Sweetroot",Não Avaliado
Cucumis melo,Bryce National Park,80,Vascular Plant,Canteloupe,Não Avaliado
Viola blanda var. blanda,Yellowstone National Park,245,Vascular Plant,Sweet White Violet,Não Avaliado
Oncorhynchus mykiss,Yosemite National Park,118,Fish,Rainbow Trout,Não Avaliado
Oncorhynchus mykiss,Yosemite National Park,118,Fish,Rainbow Trout,Threatened
Ajuga reptans,Great Smoky Mountains National Park,60,Vascular Plant,"Bugleweed, Carpet-Bugel",Não Avaliado
Ranunculus pusillus,Great Smoky Mountains National Park,82,Vascular Plant,"Aquatic Buttercup, Pursh Buttercup",Não Avaliado
Taraxacum ceratophorum,Yosemite National Park,151,Vascular Plant,"Common Dandelion, Woolbearing Dandelion",Não Avaliado
Oxytropis parryi,Great Smoky Mountains National Park,66,Vascular Plant,"Parry Pointvetch, Parry's Crazyweed, Parry's Oxytrope",Não Avaliado
Cynosurus echinatus,Bryce National Park,75,Vascular Plant,Bristly Dogstail Grass,Não Avaliado
Platanthera stricta,Bryce National Park,76,Vascular Plant,"Modoc Bog Orchid, Slender Bog Orchid",Não Avaliado
Dodecatheon subalpinum,Yellowstone National Park,206,Vascular Plant,Sierra Shootingstar,Não Avaliado
Rumex paucifolius,Great Smoky Mountains National Park,86,Vascular Plant,"Alpine Sheep Sorrel, Fewleaved Dock, Meadow Dock",Não Avaliado
Cyperus pseudovegetus,Bryce National Park,108,Vascular Plant,Marsh Flatsedge,Não Avaliado
Malus coronaria,Great Smoky Mountains National Park,75,Vascular Plant,Northern Crabapple,Não Avaliado
Nepeta cataria,Yosemite National Park,189,Vascular Plant,Catnip,Não Avaliado
Nepeta cataria,Yosemite National Park,189,Vascular Plant,"Catmint, Catnip, Catwort, Field Balm",Não Avaliado
Hieracium piloselloides,Bryce National Park,77,Vascular Plant,King Devil,Não Avaliado
Dichanthelium dichotomum var. dichotomum,Yellowstone National Park,242,Vascular Plant,Small Panic Grass,Não Avaliado
Bidens aristosa,Bryce National Park,111,Vascular Plant,Stick-Tight,Não Avaliado
Secale cereale,Great Smoky Mountains National Park,82,Vascular Plant,"Cultivated Rye, Rye",Não Avaliado
Secale cereale,Great Smoky Mountains National Park,82,Vascular Plant,"Cereal Rye, Common Rye, Cultivated Annual Rye, Cultivated Rye, Rye",Não Avaliado
Rugelia nudicaulis,Yosemite National Park,120,Vascular Plant,Rugel's Ragwort,Species of Concern
Iva annua,Great Smoky Mountains National Park,70,Vascular Plant,Iva,Não Avaliado
Bromus suksdorfii,Yellowstone National Park,243,Vascular Plant,Suksdorf's Brome,Não Avaliado
Taenidia integerrima,Bryce National Park,114,Vascular Plant,"Yellow Pimpernel, Yellow Pimpernell",Não Avaliado
Symphyotrichum spathulatum,Bryce National Park,110,Vascular Plant,Western Mountain Aster,Não Avaliado
Heterotheca villosa var. villosa,Yellowstone National Park,276,Vascular Plant,"Hairy False Goldenaster, Hairy False Golden-Aster",Não Avaliado
Pica hudsonia,Yellowstone National Park,239,Bird,"Black-Billed Magpie, Magpie",Não Avaliado
Pica hudsonia,Yellowstone National Park,239,Bird,Black-Billed Magpie,Não Avaliado
Viburnum lentago,Great Smoky Mountains National Park,74,Vascular Plant,"Nannyberry, Nanny-Berry",Não Avaliado
Saxifraga subapetala,Yellowstone National Park,265,Vascular Plant,Yellowstone Saxifrage,Não Avaliado
Helianthella quinquenervis,Yellowstone National Park,237,Vascular Plant,"Fivenerve Helianthella, Nodding Dwarf-Sunflower, Nodding Helianthella",Não Avaliado
Pteridium aquilinum var. latiusculum,Great Smoky Mountains National Park,29,Vascular Plant,Bracken Fern,Não Avaliado
Sturnus vulgaris,Yellowstone National Park,233,Bird,European Starling,Não Avaliado
Sturnus vulgaris,Yellowstone National Park,233,Bird,"Common Starling, European Starling",Não Avaliado
Carex preslii,Great Smoky Mountains National Park,25,Vascular Plant,Presl's Sedge,Não Avaliado
Pellaea breweri,Great Smoky Mountains National Park,73,Vascular Plant,Brewer's Cliffbrake,Não Avaliado
Houstonia longifolia var. longifolia,Yellowstone National Park,254,Vascular Plant,Long-Leaved Bluets,Não Avaliado
Mustela erminea,Bryce National Park,118,Mammal,"Ermine, Short Tailed Weasel",Não Avaliado
Mustela erminea,Bryce National Park,118,Mammal,Ermine,Não Avaliado
Monotropa hypopithys,Yosemite National Park,154,Vascular Plant,"American Pinesap, Pine-Sap",Não Avaliado
Monotropa hypopithys,Yosemite National Park,154,Vascular Plant,Pinesap,Não Avaliado
Pandion haliaetus,Yosemite National Park,134,Bird,Osprey,Species of Concern
Pandion haliaetus,Yosemite National Park,134,Bird,"Osprey, Western Osprey",Species of Concern
Nandina domestica,Yellowstone National Park,220,Vascular Plant,"Heavenly Bamboo, Nandina",Não Avaliado
Aix sponsa,Yosemite National Park,152,Bird,Wood Duck,Não Avaliado
Iris missouriensis,Yosemite National Park,127,Vascular Plant,"Rocky Mountain Iris, Western Blue Flag, Wild Iris, Wildiris",Species of Concern
Rigiopappus leptocladus,Yellowstone National Park,266,Vascular Plant,Wireweed,Não Avaliado
Trifolium aureum,Yellowstone National Park,263,Vascular Plant,Yellow Or Hop-Clover,Não Avaliado
Trifolium aureum,Yellowstone National Park,263,Vascular Plant,Golden Clover,Não Avaliado
Ericameria cuneata var. cuneata,Yosemite National Park,166,Vascular Plant,Cliff Goldenbush,Não Avaliado
Juncus marginatus,Great Smoky Mountains National Park,53,Vascular Plant,"Grassleaf Rush, Margined Rush",Não Avaliado
Carex jamesii,Great Smoky Mountains National Park,117,Vascular Plant,"James? Sedge, Nebraska Sedge",Não Avaliado
Carex gracillima,Yellowstone National Park,240,Vascular Plant,Graceful Sedge,Não Avaliado
Crotalus viridis viridis,Great Smoky Mountains National Park,55,Reptile,Prairie Rattlesnake,Não Avaliado
Penstemon procerus,Yellowstone National Park,215,Vascular Plant,"Littleflower Penstemon, Pincushion Beardtongue",Não Avaliado
Thaspium trifoliatum var. aureum,Yosemite National Park,125,Vascular Plant,"Purple Meadow-Parsnip, Yellow Meadow-Parsnip",Não Avaliado
Leucobryum glaucum,Bryce National Park,89,Nonvascular Plant,Leucobryum Moss,Não Avaliado
Empidonax difficilis,Yellowstone National Park,261,Bird,Pacific-Slope Flycatcher,Não Avaliado
Sonchus oleraceus,Bryce National Park,99,Vascular Plant,"Annual Sowthistle, Common Sowthistle, Common Sow-Thistle, Pualele, Sow Thistle, Sow-Thistle",Não Avaliado
Stizostedion vitreum,Great Smoky Mountains National Park,108,Fish,Walleye,Não Avaliado
Heterocladium macounii,Great Smoky Mountains National Park,110,Nonvascular Plant,Macoun's Heterocladium Moss,Não Avaliado
Saponaria officinalis,Great Smoky Mountains National Park,79,Vascular Plant,"Bouncing-Bet, Soapwort, Bouncing-Bet",Não Avaliado
Saponaria officinalis,Great Smoky Mountains National Park,79,Vascular Plant,"Bouncing Bet, Bouncingbet, Bouncingbet Soapweed, Soapwort, Sweet Betty",Não Avaliado
Stizostedion canadense,Bryce National Park,76,Fish,Sauger,Não Avaliado
Riparia riparia,Yellowstone National Park,199,Bird,Bank Swallow,Species of Concern
Riparia riparia,Yellowstone National Park,199,Bird,"Bank Swallow, Sand Martin",Species of Concern
Chasmanthium sessiliflorum,Great Smoky Mountains National Park,70,Vascular Plant,"Longleaf Spikegrass, Longleaf Woodoats",Não Avaliado
Setophaga dominica,Yosemite National Park,140,Bird,Yellow-Throated Warbler,Não Avaliado
Desmodium paniculatum var. paniculatum,Yellowstone National Park,206,Vascular Plant,Panicledleaf Ticktrefoil,Não Avaliado
Sayornis nigricans,Yosemite National Park,128,Bird,Black Phoebe,Não Avaliado
Logfia arvensis,Yosemite National Park,154,Vascular Plant,Field Cottonrose,Não Avaliado
Sambucus mexicana,Yellowstone National Park,232,Vascular Plant,Mexican Elder,Não Avaliado
